review_id,document,topic
10,"time must start again 7 7 vg timing in life is everything so the adage goes in hong kong, time is gld as long as you move you'll live over 200,000 filipinos work in hong kong it's most common to have a 2 yr domestic helper contract as filipinos are not allowed to do anything else unless they manage to become a citizen the cops, inevitably, will come by to check ids when joy sees them, she busts a move and runs she ends up running right into the handsome bartender and busts another move she uses him as camouflage to hide from the po po cops rarely bother a couple snogging in the alleyway, afterall it's done so often in movies you might think that they would start checking, even if a duo is rounding first and headed for second, but it always seems to work everyone is within 1 of separation, but it's large enough to support a filipino radio station they have a nifty microeconomic system in place as well joy thinks she got away scott free only to wake up the next morning to a radio announcement about her ethan, the bartender, is looking for joy so that she can return the kiss that she stole from him joy's friends go insane hlg is about what decent, but poor, people must do to survive it is all about hard choices it is also about the nature of love joy ethan ethan joy she resists him, but she can't for long she's going to be a nurse in canada nt a thing budkis pistza larkaflark nuffink jack squat natty joy is no wimp she has a will of iron she warns ethan to not get attached yet they allow themselves to fall in love every day they push the knife in a little deeper their story is sweet and these protags are likable he says he can handle it and he won't get in her way, but as that approaches the pressure ratchets up because, 'when you love, it's all or nothing if you hold back, then why love it all ' ethan has a point 'there are questions inside of me that only i can answer,' joy insists joy has goals, a mission, and an ironclad agenda what does it look like to ethan it's if you loved me enough you would stay to joy it's if you loved me enough you would want me to go later, joy asks the universe when a woman gives too much of herself, she's stupid, but when she prioritizes herself, she's bad is love only expressed through sacrifice love can teeter from selfish to selfless perhaps love always starts down in the selfish zone, but the more we sincerely love someone, the more selfless we should become leaving the shallow end and diving down deeper should elevate our love higher if not, we must question how much in we are or how selfish we actually are a young person should never be expected to throw away h h future for a relationship, particularly a relatively new one joy agonizes over this unexpected timeout from the race she's been running either option is valid her choice is hers alone hlg tells young girls that their personal development and future is every bit as important as love befitting a modest budget, most of the filming is on the street or in contained spaces there's a couple of wow shots they take a day off to go up into the mountains on a cliff looking down on the city, the buildings are uniformly white while they look like bad dental work there's also an ethereal beauty to the vista hlg is a 118 minute, 2019 release that is rated 8 2 on mdl overall, this is a well put together production the writing, directing and acting all blend to make a great product with few flaws this is a filipino production and i am looking forward to seeing more of their works i've seen 2 hong kong productions, the defected 8 2 and hong kong west side stories 7 both of them are good but also dark, edgy, sad, and a display of the worst elements of humanity the group that is the most downtrodden in hong kong seems to have a brighter outlook hlg is well worth the time to get a peek at life in hong kong from the view of the hard working, overlooked filipino community we have alot to be thankful for imho 78 72 79 70 67 71 70 30 78 23 47 30 49 20 45 0 70 age 12 adult situations kissing mild rated pg parental guidance suggested re not opposed",-1
11,best filipino love story movie this movie is almost 90 accurate when it comes to portraying ofw life in china acting is very good and i never expected that kath and alden would have a good chemistry,2
12,"i wish that her writers and directors would gave her something different worthy of famas or urian award, she deserves it, it was just the material that always failed her the story could have been very good to tell, but it was the storytelling that seems to be ordinary and safe but at the end of the day, it makes you feel something and that is what filipino films are good at",13
13,"superb acting and story kathryn and alden gave justice to their characters you'll forget that these are actors just portraing roles because they portrayed their characters so well the chemistry between these two is overflowing these movie is not just a love story, it's a life story it tells you the life of overseas filipino worker abroad, the struggle that they have to go through to achieve their goals for themselves and thier family",-1
14,"hello, love, goodbye unexpected chemistry of kathryn bernardo and alden richards they successfully portrayed their characters the plot of the story is great and we want more great job team hlg part2 please",3
15,"pretty great finally, no cheesy cliche filipino romance in here it's a great start for hollywood esque films it even has lessons like remember to care for your family and how to love someone purely how much ofws work hard just to provide for their family and how other people should appreciate that the best one is 'i love you but this time, i love myself more '",2
16,"what the world needs real emotion, it gives you a glimpse of what its like to be an ofw worker, more so being a domestic helper teaching one that inorder for you to love others, you need to love yourself first you need to choose your own happiness",4
17,"alden richards' character, ethan, is pushy, creepy and problematic ethan will continue sending friend requests even if joy declined several times already he will make the radio station talk about joy in public without her permission he will use another phone to text joy anonymously he will act like a police even if joy is weeping out of fear he will squeeze through inside a small room knowing that joy will be uncomfortable he will continually send need a friend today text messages even if joy has rejected it so many times 'hello, love, goodbye' is at its best when it tells the story of kathryn bernardo's character, joy in some ways, the film manages to outdo similar mainstream filipino romance films because of kathryn bernardo's stunning performance and the earnest depiction of ofws bernardo, whose acting holds the film together when it was falling apart, effectively evokes a palpable sense of weariness, discontent, and eagerness to alleviate joy's situation actually, i can do without the 'la la land' love story if the social commentary was strengthened and expounded more in a similar vein with 'sunday beauty queen,' the film resonates with filipinos because of its sensible portrayal of what it is like to work abroad in a job you are overqualified in sure, this is how cliche ridden mainstream filipino romance plays out but how i wish we get movies that transcend this generic romantic stratagem",5
18,"best of 2019 this is by far the first movie of alden richards that i watched at first, it was just an attempt to like the tandem of kath and alden but it turned out to be an affirmation of their chemistry i was moved and even shed some tears even in scenes where not much is expected simple conversations that will make you fall into tears very touching movie it's actually about love in general and that includes love of family",3
19,it was the most best movie of alden and kathryn i ever watched this not just a love story it was more than a love story its story of dreams that we need to see how far we can go and nothing can stop us even love and i salute all filipinos who works hard and conquered other countries for their families we absolutely need a second part in this one i don't really into in filipino movies it was my first local movie i watched in 2019,2
20,"much love i would love to watch this over and over again i love the film all in general i was so speechless, so please help your self to witness this movie it's not your typical love story but it was a real life of an ofw that working hard",1
21,"a story highlighting selfless love and sacrifice breathe of freshness on screen, we've been served with a platter of good offering, ar's gentleman antics and kb's toughness and complexity complements each other's character just right, a movie that highlights the life,pain and sufferings of filipino working abroad especially hongkong an eye opener about the common misconceptions about the life of our modern day heroes the brave ofws another masterpiece from direct cathy garcia molina for mixing out the reality of life abroad, stories of risk takers the dreamers sacrifice selfless love",2
22,"it depicts a few of the many instances of what ofws experience while working abroad the chemistry happened between the viewers and alden kathryn, but not between the characters themselves i haven't talked about the problems with the other casts i would have felt better if i just watched the film anak with the other ofws in one of the film's scenes",3
23,"this isnt just one of those sappy romance stories, no, it covers real life topics i assume about filipinos foreign workers, immigration etc i gotta admit that i never really think twice about these things but this movie makes me feel the pain we just gotta be grateful of choices we have in life some people have it harder now, kathryn joy is such an amazing actress i can almost relate to everything shes going through in the movie and oh, prepare tissues cause youre gonna need em",-1
24,"a movie with a heart hello goodbye love what a beautifully made movie, what a wonderful message for the millennials great story by ms carmi raymundo, great directing by cathy garcia molina, great acting by both main actors, ms kathryn bernardo and mr alden richards as well as the supporting actors the movie focuses on the life of joy, a filipino nurse graduate who works instead as a dh domestic helper in hong kong the crux of the film shows how ofws overseas filipino worker live in other countries for me, the love story between the characters was secondary but it was the right touch to bind things together kathryn is most beautiful bare faced and delivers a great performance a must see movie",7
25,a filipino movie that you should watch this is by far the best filipino movie of 2019 and one of the best of all time there's no waste or boring moment this movie sets the new benchmark for filipino movie a must watch and highly recommended,2
26,"it's unique by itself, highly recommended a must watch film it's unique by itself, highly recommended a must watch film alden ethan and kathryn joy brings spice to a good story i can tell that its a masterpiece love the movie part 2 please",1
28,"worth watching, good story not a fan of the 2 lead actors, but i can say that they did a good job portraying the characters in this movie cinematography is good the 2 leads have chemistry despite them not being paired at all before the story, most especially the ending part, makes it worth watching good overall and probably the best filipino movie among the others during that time, however, it is similar to the other mainstream filipino movies",2
29,please do the part 2 falling in love with the whole story and the actor mixed feelings but i need the second please do the part 2 please don't stop making great story like this,1
30,"a must watch movie i highly recommend this movie to everyone this is not your ordinary rom com movie that will just give you smile and love this is a realistic movie where you'll see the life of a filipino ofw in hongkong the sacrifices and dreams for the family but love will always come at the least expected time kathryn bernardo never failed me to amaze on her acting skills she always devote herself into the character and put amazing life onto it i must say that i'm a fan alden richards on the other hand surprises me on his hotness throughout the whole movie these two characters made my heart cry and leaving me to re watch again the movie that feeling you have when you finish an amazing movie that you don't want it to end director cathy is a genius on her craft she knows how to perfectly put drama, romance and comedy into a single movie everyone must watch this movie this movie will teach or remind us to love yourself, love your family, follow your dreams, live your life to the fullest until you have time, true love will set you free, and the list goes on",-1
31,"honest review nothing special about the movie's plot except the best performance from kathryn and alden maybe because i couldn't relate to the movie but kathryn and alden was so great they make the ordinary story extraordinary and don't forget the kilig factor alden brought up on some scenes overall, not a waste of money",3
32,"honest review why 5 lets start with how great kathryn's acting is as expected from her the hows of us piece alden did ok wasn't expecting much but it was a solid performance however his acting reminds me of john lloyd but in this movie it's neither then again a solid one now, the lines they are trying to squeeze the hugots absolutely anywhere they want in the film go watch it again, you'll see the same style of focus and switch to subject over and over again there are many scenes that could've shot with them both in the frame to show their emotions at the same time it was like action and my 11 yr old daughter even agreed how bad the shots are compare this with tadhana, 100 na tula, kita kita, the day after valentines, never not love you, and walangforever if you havent seen these, go watch them and thank me later 5 is because of kathryn",3
33,"just wow in what may be cathy garcia molina's best movie to date, this movie overcomes the banal and stereotypical nuances pinoy romcoms are known for in fact the apparent filipino diaspora is the true backdrop of this movie the ensuing love story merely serves as extravagance but will eventually turn complimentary to the already palatable storyline of kathryn bernardo's plight as a struggling domestic helper torn between the choice of staying in hongkong to be with the man she loves alden richards and fulfilling her destiny to be a succesful nurse in canada both characters are vibrant and played to a t by the two lead actors but that stockroom scene is just plain fun and genius the chemistry between the two characters made apparent by screams of excitement from my neighboring seat as the pair locked eyes for the first time forget about the common adequacy pinoy films are usually associated with we may suck in action and sci fi movies but we can definitely make quality films in other genres like this one again, this is not a paid ad",-1
34,nice love story with great story lines my first time watching filipina romantic love story the storyline was pretty engaging it keeps you watching all the way great acting and scenes as well,2
35,"great movie great acting skills of alden, warms the heart despite struggles working abroad",3
36,"it's not hollywood, but for a pinoy style movie , this is ver good after watching the movie, i just have love everything about it the feeling of missing the characters after the movie ended goodvibes, inside the cinema, it is so nice to hear people having mixed emotions throughout the entire movie, nakakakilig, nakakatawa, nakakaiyak it's not heavy , just simple kathryn's voice is just perfect for her role she has a straight face but she managed to give expressions that justifies every line she says, thru her eyes you will love her more in this movie alden has an expressive face, can portray a sad eyes and happy smile at the same time with that expressive face, i was amazed that he made me smile and laugh with those supposedly cheesy lines of the script i did not expect that he is this good he actually can shift from happy to sad to serious without you noticing the transition plus he is so manly and handsome many women inside the cinema were so 'kilig' everytime his face shows up especially upclose the supporting cast will give you a break to the story of joy and ethan, they are very funny i meant, just their presence adds excitement they are the ones who completed the movie good choice of names of the lead actors joy is a name that is nice to hear from alden's voice ethan could be alden's alternative name in real life, it suits him well and mary dale is maymay's real name, very filipino and youthful name for her character great chemistry, ethan's arms looks so comfy everytime he hugs joy when they look at each other in the eyes, it's genuine alden's bubbly voice and joy's serious voice are blending nicely that is why just them sitting and talking brings kilig you can see hongkong itself, even in just a glimpse you can see the unity of filipinos being an ofw is hard but having to see a community of filipino around you brings comfort and home some parts are like music videos, maybe because the music is so good to hear in those hongkong buildings in the background direk cathy is really exeptional she will bring out the best in all actors she choses the best on everything the movie itself tells different stories in just 2 hours all stories are true to life, but hopeful all stories are aspiring to have a better life and chasing happiness in order to chase happiness, you should make sacrifices, but making sacrifices is not sad at all the whole movie is not korean or hollywood, but filipino there is always room for improvement but that improvement, we should make movies more like filipino style it is very simple actually but filipinos are loving it because it is very light, its for family bonding you wont feel awkward watching it with your grandparents i gave it 10 over 10 because i cant get over it",-1
37,it's an ok film story it's good but there is some strained scene just to make the story long extend actor ethan alden richards he's acting skills is amendable there's some blunt moments in his facial acts actress joy kathryn bernardo no doubt a great actress cinematography great beautifulyl shot,-1
38,"great movie, not your typical filipino romcom love this movie very much gave me different kinds of emotions",2
39,"very worth it a story about everything that's happening in real life from sacrifices, responsibilities, self love and relationships not a fan of tagalog movies, watched this upon recommendations from friends truly worth every penny great job kathryn and alden",-1
40,"great movie one of my fav movie, i love the cast, the plot, i love everything",1
41,"had that before sunrise vibe watched this the other night on netflix, after being in my list for a while and boy it was good, it starts a bit chaotic but once you're in ,then you're in all characters where good, and the chemistry between joy and ethan was very convincing it is a romantic movie of course, but with a message like i said in my title, it had for me that before sunrise feel and since that's my favorite movie of all time, that's a compliment",-1
42,10 10 for a filipino film this is one of the best filipino films i have watched,2
43,worth watching pinoy movie the movie depicts the reality of life being ofw's their struggles dramas and obstacles make the love chemistry of the couple protagonists worth fighting for each other its theme is deep and so heart touching,-1
45,"well yes, you better leave that man to chase your nursing ambitions i love when characters have to define their priorities and decide between two things that they desperately want and i love even more when romance movies dont make them choose the relationship i cant promise... that i wont have regrets for all the things we werent able to do because we loved each other",14
46,"they both became selfish for each other just to grow ethan wanting to have a life with joy, while joy wanting a life of her own",5
47,cineplex international village,-1
48,the ending really landed well and definitely leaves me really intrigued and interested in the sequel surprisingly healthy message not common in rom coms,1
49,bibilhin ko lahat ng tinda mo para lang makasama ka but youre not nerdy enough to understand thatla la land,0
50,oh damn,0
52,"baliw talaga tong si lord, gagawa na lang ng mga lalaki, ginawa pang template si ethan amputa pakyu ethan",0
53,tama nga si joy,11
54,sybau insufferable pushy creep weirdo sad boy male lead,5
55,i'm filipino so i kinda have to like this movie,2
56,makes me want to go back to hk again huhu it showed me a different perspective of hk but in ofws perspective loved that it was an open ending,-1
57,"personal bakstori napanood ko 'to nang d maayos dati sa tv kasama pa ata mga relatives ko and everybody was talking like nasa bg lng tlg sha yung typical na pag may bisita d nakafocus sa tv pang background noise lang tas titingin lng from time 2 time not full focus lmao pero i remember it catching my attention and i remember telling myself na gusto ko siya mapanood properly someday well that someday came hahahareal review starts here goods naman sha for me tbh ang galing ng acting omfgggggggg stellar performance s i remember may nadaanan akong interview niya saying how hard everything was for her shooting this but it really shows how everything paid off galing niya dito sobra, ito rin ata first big thing na wala ung so glad for that decision na iba ung nagplay opposite her anyway lov the side characs na besties too super natural kaya what i can say about this movie is the best thing about it are the performances talaga iba pagkakadeliver nila and appreciate ko rin naman how it showcase ung buhay ng mga kababayan natin and presents conflicts not just with work but also with family and self and dreams maraming natouch na topics tong film na 'to dialouge medyo naooff minsan and may mga questionable talaga na sinabi at actions ang mga characters lalo na kay alden bwahahah tho i think it makes it more realistic and humanizes the characters even more i'm just so glad with how they wrote kath's character din and how she stood her ground yas queeen and may mga binatong linya na kabog din naman talaga couple of gag worthy quotes pero minsan sumosobra na it doesnt sound authentic na ung flow hahaha pero saks lng kaya kahit pumapalya sa mga certain areas andon parin yung tatak pinoy the humor lmao so i appreciate it and most of all i actually enjoyed it so its worth the watch and my time kahit d siya fully formed story and may mga shallow problematic areas talaga i'll let this one slide bc enjoyable paren tbh kita ko bakit patok sa mainstream",0
60,gets ko yung reasons ni joy and ni ethan kung ano pinanghuhugutan nila sa actions nila gets ko yung lalim ng pagmamahal ni ethan gets ko rin yung lalim ng pangarap ni joy a good movie indeed for someone na ginagawa ang lahat para sa mas maayos na future,0
61,i can say this is one of the best filo movie out there this is also the last movie that i watched inside a cinema before pandemic so yeah,1
63,pasapak nga kay ethan ahahhahahahahaha napaka paladesisyon sa future ni joy nakakainis sobrang creepy and problematic boy pack it uppp,0
64,one of my favorite filipino movies ever it showcase what its like to be an ofw,2
65,"good for her kunwari na lang walang part 2 kasi alam ko na maiinis lang akoidk siguro matigas na rin yung puso ko charooooot kasi inis na inis ako kay ethan sa movie na to like ok wala ka bang ibang aatupagin kung di yung love life mo oh em gee pero that's the point of the movie and ganun siyang klaseng tao p may character development naman sa huli kasi nauntog din lol while i was watching this iniisip ko yung eldest daughter trope na super over used na sa western media ok sorry not to dismiss or overlook mga westerners na eldest daughters pero iba talaga experience ng mga woc marginalized na mga kababaihan as eldest daughters kasi mas complex political economic yung pinanggagalingan ng sama ng loob natin ano ka ngayon ladybird dir by greta gerwig ok kidding hehe 3 di ko pa napapanuod so walang validity statement ko ethan is a pisces sun, taurus moon, scorpio venus, libra rising mercury i know that for sure",0
66,men need to let women chase their dreams and not hold them back,4
68,my first filo movie i enjoyed it im not ok,1
69,god forbid a woman achieve her dreams and choose herself tyl she did in the end what in the la la land bro,4
70,lots of cheesy lines but they work,0
71,corny but insanely fun watch for some regular fun,1
72,"my favorite parts of the film are the scenes that portray the real experiences of ofws in hong kong i also liked how joy chose herself, pursuing her dreams instead of putting them on hold for a guy",-1
74,"there is someone out there who is willing to carry your burden no matter how heavy or embarrassing you think it is, there will always be someone",4
75,pero cornyy i might not be just the right age to appreciate this but helloo,0
76,kathryn carried,12
77,gumanda 'yung pelikula,0
80,"its a film about chasing dreams, choosing yourself, and realizing that love doesnt always mean staying some scenes felt slow, but maybe thats the point love, like life, isnt always rushed",-1
81,there's a reason there's 'goodbye' in the title kathryn's lines juts gets me there will be that someone who will change your life unexpectedly for just a short period of time because you two will never be meant for each other because life plans back who knew that these two actors will be so effective with their craft and will have an effortless chemistry as an on screen couple this pairing really worked,7
82,"as a birthday tradition, i watch this film with a beer at hand and keep in mind that hello, love, again doesnt exist perfect",1
83,"hlg shows us what love is for millions of ofws messy, complicated, and often not enough i love that joy and ethans relationship does not pretend that love conquers all sometimes, the bravest thing you can do is choose yourself i miss my mama",-1
84,"all throughout the film, walang balak bumalik si joy sa pilipinas enter ethan buti na lang he was matured enough the second time joy is full of dreams mataas ang pangarap niya pero willing siya mag settle sa kung anong pwede niyang magawa joy and ethan finding solace with each other feels natural na para bang they meant to find each other overall, the film is really good i remembered crying the same amount as the first time i watched this",-1
85,"ang mga linya ay natural at totoo, kaya ang mga emosyon ng mga karakter ay higit na nadarama sa aking palagay, maganda pa rin ang paggamit ng filipino sa pelikulang ito dahil ito ay nagpapakita ng ating wika na nagpapahayag ng tunay na damdamin at karanasan para lalo pang pagbutihin, makabubuting bigyang pansin ang paggamit ng mas malalim at mas masining na mga salita sa filipino upang mas maipakita ang yaman at kagandahan ng ating sariling wika",0
88,"oh joy, you will never be selfish for choosing your own future in fact, you made the right decision",4
89,this shit caught my heart,6
90,joy is def a midnight rain shes so like me,-1
91,okay okay gets,-1
95,"january 6, 2024",0
97,"i really love how theyve shown the lives of the ofws their sacrifices, silent battles, and the longing that comes with being miles away from home one of the main reasons why i chose this as the film subject for my discourse analysis in grade 11 but above all, theyve shown us a story about choosing yourself and all that you have to go through to do that and joy was such a great protagonist for this because how can you love someone so much, and still have to let them go to choose yourself all her life, she had to put others first before herself, giving up and sacrificing things for people but when the time came that she finally decided to choose herself, she wasnt being selfish she was finally being free i admire her so much for having the courage to leave, to allow herself to grow and dream and ethan its a hard pill to swallow, but its the truth the reality that not all the love in the world can save us joy was never lacking in reminding him that shes going to leave she never made false promises, never painted a forever she couldnt give it was he who pushed himself into her life, even when she kept on pushing him away i know that ethan just hoped its not a bad thing but sometimes, hope blinds us from the truth we already know, making her choose between the dream shes been working hard for and the love she never expected to find so yup, joy, tama ka sa sinabi mong, kung mahal mo ko, bakit pinapapili mo ako at sana, makahanap tayong lahat ng taong hindi tayo papipiliin tulad ni ethan",-1
98,the individual character stories were a lot more compelling than when it was a romance which felt incredibly frustrating to get through,-1
100,"i love the telling of the ofw experience on top of what happened during covid such an important narrative that was done well especially highlighting what many sacrifice for their families more than what i expected tbh so pleasantly surprised but with that being said, i really wish it ended when shes in the cab to go to the airport",-1
101,kathryn carried,12
102,the way this movie edged me like i thought theyd get a good ending baya and its kinda timing too that i found they made a sequel like a few months after i first watched it which i do not remember rlly interesting characters like it made me wonder why they thought n did the things they did,1
104,at ngayooooon nandyan ka naaaa,0
105,dec ave,0
107,"para bago nman baka sakaling mas okay 'to kahit hindi ako fan ni alden anyways, hindi siya nakakadisappoint, okay ung chemistry, galing ng acting, ganda rin ng story",0
108,"while it certainly has its cliche moments, hello, love, goodbye is surprisingly effective in handling more serious themes capturing the emotional toll of economic hardship and life in an unfamiliar city through an empathetic lens the lead performances, as the characters navigate complicated family dynamics and dream of a better future, felt very mature and nuanced, further elevating the films overall impact",7
110,take out the romance and this movie is infinitely better,1
111,"me when my creepy stalker gets to be supported by a cutesy backing trackhonestly the ending is pretty good and all in terms of what it's trying to say especially ethan's character these 5 stars are for joy and how the movie captures the ofw struggle, massive carry tbh",9
112,"i love it because it didnt focus solely on the love story it really showed what was the actual situation of ofws in hongkong, every aspect of it great cast",-1
113,"this is much better than sequel hmmm because this is the first time that both come from phenomenal loveteam collab and create a movie so people more invested to this movie but, i accept their ending here much better compare to the sequel maybe because of my perspective in love",1
114,kathryn bernardo is actually a good actress,8
115,this is the greatest romance movie ever,1
116,"san ba talaga kami lulugar, ate v like god forbid joy wants to chase her dreams",0
117,ify joy,11
118,cute lng ni alden d2 bat ganun,0
119,what a movieee,1
120,ang cute cute nila okay,-1
121,may mga lugar na pangmatagalan gives me goosebumps all the time,0
122,"gave me a lot of emotions, this movie made me feel everything",1
124,"just another day, another rewatch had to make maia watch this",1
126,"kathryn and alden tried, but the script dragged them down",3
127,ang weirdo mo ethan jusko,0
128,"its not because of their love story but because of joys passion to pursue the life shes craving for and not letting love hinder her self from achieving it but its the love that made her stronger too, that made her look back from where she came from i want to be more so i can give more selfless line but i love it",-1
